experiment_id,model_id,repeat,representation,problem_id,kernel_pass,inappropriate_assumption,leakage_risk,review_mode,reviewer_note
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,1,raw,exists_or,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,2,structured,right_inverse,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,1,normalized,omap_comp,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,3,structured,size_stitch,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,3,structured,injective_comp,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,2,normalized,double_add,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,1,raw,size_map,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,2,raw,double_even,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,3,raw,omap_identity,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,1,structured,scale_value,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
feedback-study-8ccb89dd-3e26-47f0-8eae-d1930b95e248,deepseek,3,normalized,omap_identity,yes,no,no,ai_assisted,PASS；AI 辅助复核与独立 Lean 复编译通过；候选为局部证明项，未发现额外公理、占位证明、元编程或检索示例泄漏。
