condition,tag,tasks,pass_at_1,pass_at_3,pass_at_1_rate,pass_at_3_rate
A,algebra,1,1,1,1.0,1.0
A,and,2,2,2,1.0,1.0
A,cases,2,2,2,1.0,1.0
A,equality,2,2,2,1.0,1.0
A,functions,2,2,2,1.0,1.0
A,inductive_types,1,1,1,1.0,1.0
A,introduction,1,1,1,1.0,1.0
A,natural_numbers,8,8,8,1.0,1.0
A,negation,1,1,1,1.0,1.0
A,or,2,2,2,1.0,1.0
A,propositional_logic,6,6,6,1.0,1.0
A,reduction,1,1,1,1.0,1.0
A,relations,2,2,2,1.0,1.0
A,rewriting,4,4,4,1.0,1.0
B,algebra,1,1,1,1.0,1.0
B,and,2,2,2,1.0,1.0
B,cases,2,2,2,1.0,1.0
B,equality,2,1,2,0.5,1.0
B,functions,2,1,2,0.5,1.0
B,inductive_types,1,1,1,1.0,1.0
B,introduction,1,1,1,1.0,1.0
B,natural_numbers,8,7,8,0.875,1.0
B,negation,1,1,1,1.0,1.0
B,or,2,2,2,1.0,1.0
B,propositional_logic,6,6,6,1.0,1.0
B,reduction,1,1,1,1.0,1.0
B,relations,2,1,2,0.5,1.0
B,rewriting,4,4,4,1.0,1.0
C,algebra,1,1,1,1.0,1.0
C,and,2,2,2,1.0,1.0
C,cases,2,2,2,1.0,1.0
C,equality,2,2,2,1.0,1.0
C,functions,2,2,2,1.0,1.0
C,inductive_types,1,1,1,1.0,1.0
C,introduction,1,1,1,1.0,1.0
C,natural_numbers,8,8,8,1.0,1.0
C,negation,1,1,1,1.0,1.0
C,or,2,2,2,1.0,1.0
C,propositional_logic,6,6,6,1.0,1.0
C,reduction,1,1,1,1.0,1.0
C,relations,2,2,2,1.0,1.0
C,rewriting,4,4,4,1.0,1.0
