experiment_id,problem_id,condition,kernel_pass,inappropriate_assumption,leakage_risk,reviewer_note
pilot-20260826T122354Z-d628742d,and_swap_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,and_swap_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,and_swap_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,or_swap_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,or_swap_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,or_swap_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,eq_transitive_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,eq_transitive_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,eq_transitive_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,function_congruent_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,function_congruent_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,function_congruent_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_add_zero_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_add_zero_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_add_zero_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_zero_add_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_zero_add_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_zero_add_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_succ_ne_zero_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_succ_ne_zero_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_succ_ne_zero_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_le_transitive_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_le_transitive_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_le_transitive_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
