experiment_id,model_id,repeat,arm,problem_id,kernel_pass,inappropriate_assumption,leakage_risk,review_mode,reviewer_note
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_flash_v41,2,C_failure,size_map,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_flash_v41,3,D,right_inverse,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_v4_pro_0813,2,D,size_map,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_v4_pro_0813,2,A,omap_comp,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_flash_v41,1,C_failure,omap_bind,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_flash_v41,1,B,scale_value,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_v4_pro_0813,2,A,size_stitch,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_flash_v41,1,C_dynamic,map_stitch,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_v4_pro_0813,3,C_failure,surjective_comp,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
research-313f437f-70cf-49ad-82ea-6fed676c2602,deepseek_v4_pro_0813,3,C,omap_identity,yes,no,no,ai_assisted,AI 辅助复核 PASS：独立 Lean 编译通过；imports、定理头、局部定义和假设未改变；候选仅替换证明区域；未发现占位、额外公理、不安全/本机执行构造或目标答案泄漏。
