task_id,module,theorem,first_round_success_reference,raw_success,capsule_success,raw_rounds,capsule_rounds,raw_second_round_repair,capsule_second_round_repair,raw_final_repair,capsule_final_repair,raw_compilation_errors,capsule_compilation_errors,raw_proposer_calls,capsule_proposer_calls,raw_reviewer_calls,capsule_reviewer_calls,raw_llm_calls,capsule_llm_calls,raw_total_tokens,capsule_total_tokens,raw_repeated_diagnostics,capsule_repeated_diagnostics,raw_api_errors,capsule_api_errors
fate01,FATEM/1.lean,prod_card_eq_card_pow,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,5805,5764,0,0,0,0
fate02,FATEM/2.lean,monoidHom_eq_of_isCyclic,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6003,6078,0,0,0,0
fate03,FATEM/3.lean,comp_surjective_of_surjective,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,5870,5877,0,0,0,0
fate04,FATEM/4.lean,mul_mem_ker_comm,False,True,True,2,2,True,True,True,True,1,1,1,1,1,1,2,2,14295,15391,0,0,0,0
fate05,FATEM/5.lean,has_inverse_iff_isomorphism,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6181,6167,0,0,0,0
fate06,FATEM/6.lean,MonoidHom.eq_id_of_card_gcd_eq_one,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6632,6250,0,0,0,0
fate07,FATEM/7.lean,commutative_iff_commutator_mem_ker,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6322,6515,0,0,0,0
fate08,FATEM/8.lean,conj_ker_eq_center,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6598,8198,0,0,0,0
fate09,FATEM/9.lean,orderOf_eq_zero_of_monoidHom,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6011,5986,0,0,0,0
fate10,FATEM/10.lean,pow_mem_ker_of_card_eq,False,True,False,2,4,True,False,True,False,1,4,1,3,1,0,2,3,18363,35604,0,0,0,0
fate11,FATEM/11.lean,mul_sub_and_sub_mul,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,5726,5733,0,0,0,0
fate12,FATEM/12.lean,existUnique_ringHom_int,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,5831,5827,0,0,0,0
fate13,FATEM/13.lean,commutative_of_relations,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,7906,8496,0,0,0,0
fate14,FATEM/14.lean,zero_of_pow_eq_zero,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6069,6157,0,0,0,0
fate15,FATEM/15.lean,left_right_inverse_eq,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,5880,5856,0,0,0,0
fate16,FATEM/16.lean,Ideal.span_eq_iff_associated,False,True,False,2,4,True,False,True,False,1,4,1,3,1,0,2,3,17854,45263,0,0,0,0
fate17,FATEM/17.lean,ideal_span_eq_diagonal_map_sum,False,True,True,2,2,True,True,True,True,1,1,1,1,1,1,2,2,21781,24647,0,0,0,0
fate18,FATEM/18.lean,Ideal.add_le_of_le,False,False,False,4,4,False,False,False,False,4,4,3,3,0,0,3,3,35185,33925,0,0,0,0
fate19,FATEM/19.lean,ZMod.isField_iff_prime,False,False,False,4,4,False,False,False,False,4,4,3,3,0,0,3,3,43541,50745,0,0,0,0
fate20,FATEM/20.lean,Field.ideal_eq_bot_or_top,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6309,6606,0,0,0,0
fate21,FATEM/21.lean,existUnique_linear_solution,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,6188,6276,0,0,0,0
fate22,FATEM/22.lean,infinite_of_isAlgClosed,True,True,True,1,1,False,False,False,False,0,0,0,0,1,1,1,1,5642,5859,0,0,0,0
fate23,FATEM/23.lean,isMaximal_of_isPrime_of_fintype,False,False,False,4,4,False,False,False,False,4,4,3,3,0,0,3,3,36236,41893,0,0,0,0
fate24,FATEM/24.lean,isPrime_singleton,False,True,True,4,2,False,True,True,True,3,1,3,1,1,1,4,2,40379,24879,0,0,0,0
fate25,FATEM/25.lean,primeAvoidance,False,False,False,4,4,False,False,False,False,4,4,3,3,0,0,3,3,51879,55794,0,0,0,0
